"X","Y","ID","0to15cm"
152.32611,-27.5305,6193,0.0251222291643361
151.17647,-26.97338,3333,0.0096100198631086
146.71867,-20.0062,5013,0.028663564243231
151.96003,-27.63922,4563,0.00823216760787912
148.52531,-20.44813,3173,0.0178071821096913
149.84618,-22.83327,1163,0.0330384502992539
150.38719,-26.63819,4613,0.0386709456455321
153.06895,-27.59193,6533,0.0380249899984561
151.12916,-26.53508,3183,0.041995605694378
145.67247,-19.52573,6133,0.0132748987155292
151.56545,-28.04846,1363,0.0242429674418547
152.60081,-26.87459,8923,0.0324839806963726
151.71146,-27.41165,463,0.0390695801332955
150.58116,-28.61839,473,0.0415411546323603
149.42044,-28.20664,4183,0.0253728825074341
147.4556,-23.69401,4094,0.0429575816512287
151.79933,-26.89167,4324,-0.00166098715394472
151.91826,-27.76375,6524,0.00440589392134522
146.57189,-22.33897,4374,0.025577556985406
151.41751,-25.61004,274,0.0447001337481583
145.27162,-17.71698,4464,0.0422938023913788
147.10621,-19.9313,2174,0.0320079160566472
152.27477,-24.81271,2684,0.0359200574760926
147.75621,-20.53611,4394,0.0302676586612068
147.86533,-20.75124,4134,0.0513426555893579
144.04831,-18.48427,1584,0.0179924233131105
145.84446,-19.68989,3344,0.0171787358941313
147.00797,-19.73478,4044,0.0537384988974671
151.81611,-26.20046,904,0.000771762225413324
144.45001,-15.56265,3904,0.0384162646871435
148.86139,-23.50593,2584,0.00266578075206639
143.37286,-13.08319,2624,0.0253265209975029
151.14103,-26.66972,6824,0.0142274792370956
152.34691,-27.42507,994,0.0294119570179901
150.13849,-26.95349,5464,0.0316469147374514
151.06856,-26.99493,3334,0.0102909022763246
146.72351,-20.00731,5014,0.0291777775311717
151.46258,-27.72853,4564,0.0217622427889316
148.52559,-20.42802,3174,0.0409096976889455
149.85005,-22.83681,1164,0.0235116801515132
150.3755,-26.65283,4614,0.0264933660573924
151.89481,-28.1521,3184,0.0369025605543089
151.236,-27.05246,464,0.0101199510100482
150.64677,-28.65654,474,0.0594219598502693
149.41713,-28.20531,4184,0.0239408268116787
147.3007,-23.7689,4095,0.0271643732185167
146.57189,-22.33897,4375,0.0286933446796141
151.8617,-26.61601,275,0.00658917004628908
145.25853,-17.70602,4465,0.0274560385945613
144.46784,-26.34846,55,0.0291133700233464
150.13955,-24.07938,2725,0.032514450257704
146.67136,-19.30532,2885,0.0316317875514168
147.14399,-19.97429,2175,0.051145434806633
152.27275,-24.81993,2685,0.0395629780452576
151.78455,-27.93908,4035,0.0209335150961532
147.75461,-20.54353,4395,0.0296674838965968
147.59541,-20.51562,4135,0.0200599374310011
146.25291,-19.92743,205,0.034342028434554
146.41783,-26.11502,3845,0.0295468107145034
149.55677,-25.70733,6005,0.0325732299550289
153.32834,-28.06054,3715,0.0187635479737731
147.00854,-19.7355,4045,0.0455802556435178
151.81077,-26.18516,905,0.00771611232772638
144.44694,-15.56435,3905,0.0304843592175475
151.39082,-26.84428,6825,0.0205967139543966
152.34133,-27.48355,995,0.0301724889569485
150.59241,-25.90071,5465,0.0283312899255229
146.53549,-19.8846,5015,0.0381066370748951
151.25887,-27.73656,4565,0.0078117130479311
148.52915,-20.40021,3175,0.0349244671755982
149.85072,-22.97579,1165,0.0227476922768012
151.94582,-28.57822,1365,0.0227787946814031
145.85726,-27.79958,4605,0.0295201312399191
152.86674,-26.80122,8925,0.0302587524205006
151.4686,-27.13058,465,0.0279619632189844
150.72078,-28.63976,475,0.0620341102489919
149.42031,-28.20549,4185,0.0305353855969501
151.90399,-25.61635,1566,0.00845015609556057
147.29986,-23.76956,4096,0.0452152156642101
151.75767,-26.88003,4326,0.0177196166133471
145.34304,-17.01008,4466,0.0226566822447538
144.46784,-26.36512,56,0.0333884875467953
150.31359,-24.06318,2726,0.0332340412297395
146.61739,-23.11733,5546,0.0241163870163823
146.67357,-19.29777,2886,0.0448816569380285
147.12143,-19.83622,2176,0.0252495468994629
152.29442,-24.83719,2686,0.0130165345463834
147.75009,-20.54102,4396,0.0252094638877946
145.83244,-17.60001,6636,0.0153513597828937
153.28865,-28.02073,3716,0.0356666357172736
146.26981,-19.85863,3346,0.0290837929187357
147.00911,-19.73605,4046,0.0568316636500101
151.80647,-26.17456,906,0.00975225044018381
144.44674,-15.56581,3906,0.0365747463459607
149.26476,-23.44644,2586,0.0111619318519099
151.17832,-26.78845,6826,0.0302187617913805
152.23224,-27.6465,996,0.023549503828689
150.86232,-26.8269,5466,0.0328559129262018
146.5366,-19.88353,5016,0.0353931351967672
148.49622,-20.41315,3176,0.0354323516098059
149.84631,-22.9839,1166,0.0109833858220913
150.26158,-26.57383,4616,0.0410975884430046
151.89314,-28.16782,3186,0.0219308059220886
145.72699,-19.48163,6136,0.0433198897954739
152.0155,-28.22989,1366,0.0205900758473975
145.89415,-26.90204,4606,0.0216472252777882
152.86929,-26.80183,8926,0.0326448526932504
151.282,-27.14748,466,0.0188312435269145
150.77258,-28.60814,476,0.0553836850435771
149.42101,-28.20603,4186,0.0386657290491971
151.90074,-25.59059,1567,0.00288651945707493
147.29888,-23.76988,4097,0.0438797081777641
152.80719,-26.01094,277,0.0539725772381435
145.22898,-17.15459,4467,0.0463479232220678
144.45118,-26.38179,57,0.0269929617649855
147.10857,-19.89678,2177,0.0400339493894324
152.3013,-24.84625,2687,0.019407044784169
147.74298,-20.53816,4397,0.00692376882861011
147.72327,-20.68415,4137,0.0577938941220223
147.83053,-19.92009,6637,0.013779360986146
146.80115,-26.03167,3847,0.0207646022369047
153.29144,-28.11388,3717,0.0448890487771343
143.46235,-18.2999,3347,0.026964125977664
147.01045,-19.73731,4047,0.0448742028145747
151.79471,-26.16995,907,0.0271466525281409
144.45148,-15.56555,3907,0.044583613456988
150.17751,-24.58478,2587,0.013554961535496
151.14514,-26.78802,6827,0.0154309850491965
150.82436,-26.46893,5467,0.0156864770122822
144.95887,-17.54166,937,0.0378375680955922
146.59133,-19.83959,5017,0.0396358151238447
151.44122,-27.59468,4567,0.00231244307366617
148.47913,-20.43046,3177,0.0323411220489552
149.84305,-22.98658,1167,0.0221281104933879
151.7344,-28.68732,3187,0.0272835126605928
145.76471,-19.485,6137,0.067284233978815
152.86775,-26.80125,8927,0.0322283636283757
151.3465,-27.27686,467,0.0299279192701762
150.86105,-28.53107,477,0.0422661125470158
149.42096,-28.2045,4187,0.0268002746672369
147.29889,-23.76842,4098,0.046621333220554
151.74428,-26.86185,4328,0.022953758238561
151.62071,-25.58965,278,0.0485887207026088
145.33123,-17.07143,4468,0.0204785147908075
147.21825,-20.10723,2178,0.0293672395288811
152.32411,-24.83733,2688,0.0127832673600237
147.74072,-20.54684,4398,0.0571158314983169
147.68738,-20.69151,4138,0.0503127312026016
148.197,-20.00799,6638,0.0298569926648599
146.27434,-19.90553,208,0.0586212388565413
146.91781,-26.14834,3848,0.034742334659198
153.29363,-28.02153,3718,0.0444740298429795
151.85027,-26.17149,908,0.0284562201982289
144.4502,-15.56561,3908,0.0428122448376637
151.51499,-27.19227,6828,0.010492283399014
150.67911,-26.83394,5468,0.0311044682238202
146.58981,-19.83907,5018,0.0315910092596579
148.49742,-20.43888,3178,0.0556356548258863
149.84247,-22.98713,1168,0.0329023507648406
151.73642,-28.68915,3188,0.0191631960118078
145.78118,-19.46095,6138,0.0478784868878028
151.65036,-28.64048,1368,0.0268191806740335
